scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,41224,20612,20612,False,-4.39138157,calibration,0.500849,0.490235,0.512256,0.495895,0.000485,0.009169,0.043373,0.89477,0.944692,0.987532,0.50456,0.50456,0.5,0.503376,0.679895,0.578469,0.009739,0.001699,0.332913,0.249084,3.903297,65.079521,,,,,
finetuning,loss,gender,G0,20652,10337,10315,False,-2.28803836,calibration,0.504427,0.489699,0.519144,0.501053,0.000193,0.0089,0.048273,0.885894,0.941057,0.985555,0.500339,0.500806,0.500533,0.50712,0.06201,0.110508,0.003364,0.008853,0.331128,0.248995,3.877626,63.350098,,,,,
finetuning,loss,gender,G1,20572,10275,10297,False,-4.39101848,calibration,0.497164,0.482174,0.512315,0.490653,0.001071,0.008467,0.038443,0.90201,0.947169,0.989317,0.500097,0.500262,0.500535,0.499666,0.654501,0.566698,0.000551,-0.005673,0.33476,0.249089,3.929069,66.81567,,,,,
finetuning,loss,language,ar,10315,5163,5152,False,-2.10819171,calibration,0.485399,0.464278,0.504724,0.492107,0.0,0.010459,0.048228,0.91052,0.958657,0.993012,0.496171,0.496566,0.500533,0.487237,0.125702,0.199846,-0.01024,-0.029203,0.340651,0.260834,2.866496,20.134579,,,,,
finetuning,loss,language,en,10330,5179,5151,False,-4.08105697,calibration,0.491008,0.474347,0.50623,0.490569,0.0,0.006372,0.041514,0.897496,0.948165,0.990487,0.495934,0.496183,0.501355,0.496679,0.404325,0.445769,-0.007766,-0.017985,0.337846,0.258253,4.09181,67.688475,,,,,
finetuning,loss,language,es,10290,5147,5143,False,-3.86199451,calibration,0.499599,0.482916,0.51533,0.496812,0.000971,0.007577,0.044298,0.904919,0.949835,0.9895,0.49757,0.497693,0.500194,0.493912,0.181271,0.265208,-0.005958,-0.000802,0.33355,0.247012,4.239772,78.751641,,,,,
finetuning,loss,language,pt,10289,5123,5166,False,-4.81329789,calibration,0.523019,0.499878,0.54824,0.509363,0.00039,0.006246,0.052313,0.879985,0.93825,0.983546,0.507338,0.508543,0.50209,0.503329,0.796799,0.616942,0.020908,0.046038,0.321839,0.232481,4.416948,93.845239,,,,,
finetuning,loss,variety,argentina,1197,608,589,False,-4.45646904,calibration,0.532903,0.487903,0.574119,0.537616,0.001645,0.019737,0.060855,0.896435,0.938879,0.979626,0.533835,0.532815,0.507937,0.536982,0.597039,0.565421,0.066179,0.065806,0.317012,0.232247,4.32651,84.772439,,,,,
finetuning,loss,variety,australia,1759,887,872,False,-4.08480059,calibration,0.467823,0.42796,0.507087,0.470079,0.0,0.001127,0.027057,0.905963,0.970183,0.994266,0.478681,0.479453,0.504264,0.479167,0.388952,0.429371,-0.041786,-0.064355,0.349525,0.278283,4.076912,67.471413,,,,,
finetuning,loss,variety,brazil,5552,2773,2779,False,-4.40696395,calibration,0.53314,0.502269,0.568717,0.522036,0.0,0.005049,0.060945,0.877294,0.934869,0.983807,0.527378,0.527288,0.50054,0.532154,0.444645,0.484479,0.055338,0.06628,0.31679,0.224289,4.401224,94.239995,,,,,
finetuning,loss,variety,canada,1760,854,906,False,-4.304181,calibration,0.497242,0.461117,0.534279,0.478528,0.0,0.001171,0.038642,0.890728,0.949227,0.992274,0.492614,0.497396,0.514773,0.483262,0.659251,0.557702,-0.005503,-0.005516,0.334807,0.262864,4.099733,66.4517,,,,,
finetuning,loss,variety,chile,1481,730,751,False,-3.85580487,calibration,0.478316,0.437317,0.517818,0.47782,0.005479,0.006849,0.035616,0.913449,0.960053,0.996005,0.492235,0.487096,0.50709,0.446078,0.124658,0.194861,-0.03744,-0.043369,0.344293,0.268062,4.34808,87.011824,,,,,
finetuning,loss,variety,colombia,1414,717,697,False,-4.70567072,calibration,0.481852,0.435642,0.525219,0.489473,0.001395,0.004184,0.030683,0.912482,0.952654,0.991392,0.508487,0.503376,0.507072,0.509031,0.864714,0.640827,0.009768,-0.036296,0.34253,0.259272,4.206367,75.981133,,,,,
finetuning,loss,variety,egypt,2584,1291,1293,False,-3.32466312,calibration,0.472064,0.430782,0.513117,0.475924,0.0,0.010844,0.03718,0.890951,0.943542,0.993039,0.484907,0.485109,0.500387,0.489827,0.745933,0.591342,-0.034908,-0.055872,0.347371,0.266738,2.821863,19.693103,,,,,
finetuning,loss,variety,great britain,1730,871,859,False,-3.99853869,calibration,0.532808,0.489765,0.57003,0.529301,0.001148,0.005741,0.058553,0.885914,0.923166,0.981374,0.52659,0.527549,0.503468,0.541534,0.389208,0.452906,0.057329,0.065616,0.317017,0.223954,4.061981,66.931514,,,,,
finetuning,loss,variety,gulf,2436,1196,1240,False,-1.93882465,calibration,0.515331,0.474765,0.553433,0.504005,0.002508,0.01087,0.054348,0.918548,0.954839,0.991129,0.511084,0.503381,0.509031,0.513966,0.076923,0.133818,0.012955,0.030663,0.325735,0.233498,2.83486,19.643434,,,,,
finetuning,loss,variety,ireland,1612,839,773,False,-4.37900603,calibration,0.507235,0.463922,0.547743,0.526286,0.0,0.016687,0.061979,0.860285,0.923674,0.98577,0.521712,0.513506,0.520471,0.530088,0.713945,0.608431,0.029475,0.014471,0.329823,0.252016,4.048669,65.989732,,,,,
finetuning,loss,variety,levantine,2608,1288,1320,False,-2.08701654,calibration,0.442864,0.409749,0.47967,0.45127,0.001553,0.007764,0.03028,0.929545,0.980303,0.996212,0.489647,0.484277,0.506135,0.368098,0.046584,0.082702,-0.064951,-0.114273,0.361972,0.293808,2.975783,21.619658,,,,,
finetuning,loss,variety,maghrebi,2687,1388,1299,False,-2.39139956,calibration,0.50968,0.472262,0.551596,0.534308,0.0,0.007925,0.065562,0.909931,0.95766,0.990762,0.505024,0.513785,0.516561,0.545741,0.24928,0.342235,0.032449,0.01936,0.328559,0.245813,2.832026,19.562983,,,,,
finetuning,loss,variety,mexico,1554,793,761,False,-4.40609746,calibration,0.488521,0.444958,0.528047,0.51107,0.003783,0.013871,0.06053,0.923784,0.968463,0.99343,0.498713,0.49504,0.510296,0.506641,0.673392,0.578235,-0.010615,-0.022959,0.339182,0.259813,4.163855,71.741618,,,,,
finetuning,loss,variety,new zealand,1667,814,853,False,-3.93822692,calibration,0.475498,0.438602,0.51217,0.472476,0.0,0.007371,0.039312,0.91442,0.961313,0.994138,0.492501,0.485343,0.511698,0.450617,0.179361,0.256591,-0.03703,-0.049005,0.345685,0.268446,4.237928,75.811783,,,,,
finetuning,loss,variety,peru,1455,747,708,False,-3.76087204,calibration,0.501463,0.453724,0.547962,0.498505,0.0,0.0,0.03079,0.888418,0.929379,0.981638,0.471478,0.481514,0.513402,0.43956,0.107095,0.172228,-0.055861,0.002927,0.332716,0.248454,4.278982,83.018584,,,,,
finetuning,loss,variety,portugal,4737,2350,2387,False,-4.7124727,calibration,0.510089,0.479061,0.542176,0.492282,0.000426,0.003404,0.033617,0.881441,0.945538,0.985337,0.518049,0.519809,0.503905,0.509753,0.745106,0.605359,0.04437,0.020178,0.328323,0.245514,4.435378,93.382565,,,,,
finetuning,loss,variety,spain,1621,789,832,False,-3.90347434,calibration,0.515822,0.476915,0.554569,0.502133,0.001267,0.012674,0.048162,0.887019,0.9375,0.99399,0.519432,0.510857,0.513263,0.517483,0.187579,0.275349,0.028472,0.031643,0.325526,0.236274,4.26252,78.863935,,,,,
finetuning,loss,variety,united states,1802,914,888,False,-4.23500341,calibration,0.459524,0.419237,0.498233,0.475501,0.0,0.006565,0.02407,0.923423,0.958333,0.993243,0.470588,0.468748,0.507214,0.482301,0.59628,0.533268,-0.064619,-0.080953,0.353671,0.277886,4.030669,63.839914,,,,,
finetuning,loss,variety,venezuela,1568,763,805,False,-4.27161706,calibration,0.502933,0.461221,0.548813,0.487425,0.0,0.011796,0.049803,0.903106,0.95528,0.993789,0.508291,0.509459,0.513393,0.495305,0.55308,0.522601,0.018983,0.005866,0.331973,0.249522,4.116718,71.723847,,,,,
finetuning,loss,gender_language,G0|ar,5189,2595,2594,False,-2.31565319,calibration,0.510705,0.480698,0.538397,0.509433,0.0,0.009249,0.04894,0.891288,0.952583,0.992675,0.511659,0.511718,0.500096,0.530288,0.20578,0.296502,0.029631,0.02141,0.328012,0.243399,2.875649,20.313382,,,,,
finetuning,loss,gender_language,G0|en,5146,2580,2566,False,-4.33559647,calibration,0.499756,0.476564,0.523252,0.500648,0.001163,0.00969,0.047674,0.895947,0.944271,0.989478,0.500194,0.499634,0.50136,0.501101,0.705426,0.585963,-0.000802,-0.000488,0.333488,0.248387,4.032406,64.367929,,,,,
finetuning,loss,gender_language,G0|es,5157,2587,2570,False,-3.86199451,calibration,0.505445,0.480417,0.528033,0.501753,0.000387,0.007344,0.050251,0.893385,0.945914,0.989105,0.49777,0.498763,0.501648,0.498537,0.197526,0.282946,-0.0031,0.01089,0.330643,0.242971,4.198386,75.779039,,,,,
finetuning,loss,gender_language,G0|pt,5160,2575,2585,False,-4.81329789,calibration,0.524428,0.489335,0.558081,0.504827,0.0,0.005437,0.041942,0.873501,0.931141,0.980658,0.512016,0.5126,0.500969,0.506892,0.813981,0.624739,0.031579,0.048856,0.321149,0.2297,4.410299,93.191902,,,,,
