scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,32,16,16,False,-4.39138157,calibration,0.457031,0.265873,0.672065,0.494985,0.0,0.0,0.0,0.9375,1.0,1.0,0.4375,0.4375,0.5,0.454545,0.625,0.526316,-0.13484,-0.085938,0.360887,0.288306,3.935379,66.24037,,,,,
finetuning,loss,gender,G0,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender,G1,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,language,ar,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,language,en,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,language,es,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,language,pt,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,argentina,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,australia,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,brazil,6,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,canada,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,chile,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,egypt,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,great britain,2,0,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,gulf,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,ireland,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,levantine,3,2,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,maghrebi,2,0,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,mexico,3,2,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,new zealand,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,peru,1,0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,portugal,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,united states,1,0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,venezuela,1,0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|ar,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|en,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|es,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|pt,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|ar,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|en,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|es,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|pt,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,all,all,32,16,16,False,-9.56372549,calibration,0.417969,0.214575,0.625,0.561816,0.1875,0.1875,0.1875,1.0,1.0,1.0,0.4375,0.4375,0.5,0.444444,0.5,0.470588,-0.125988,-0.164062,0.381048,0.346774,3.935379,66.24037,,,,,
finetuning,min_k,gender,G0,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender,G1,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,language,ar,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,language,en,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,language,es,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,language,pt,8,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,argentina,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,australia,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,brazil,6,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,canada,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,chile,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,egypt,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,great britain,2,0,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,gulf,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,ireland,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,levantine,3,2,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,maghrebi,2,0,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,mexico,3,2,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,new zealand,1,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,peru,1,0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,portugal,2,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,united states,1,0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,variety,venezuela,1,0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G0|ar,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G0|en,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G0|es,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G0|pt,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G1|ar,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G1|en,4,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
