scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,41224,20612,20612,False,-3.60465545,calibration,0.496561,0.488249,0.504993,0.494437,0.000485,0.008102,0.045168,0.89967,0.950126,0.989715,0.497453,0.497453,0.5,0.497443,0.495488,0.496464,-0.005094,-0.006877,0.335057,0.252432,3.468215,38.06051,,,,,
finetuning,loss,gender,G0,20652,10337,10315,False,-4.03911331,calibration,0.506677,0.49338,0.518185,0.502726,9.7e-05,0.007739,0.051079,0.891905,0.940378,0.988754,0.506246,0.505864,0.500533,0.503946,0.864758,0.636794,0.016845,0.013353,0.330003,0.244444,3.463555,37.910274,,,,,
finetuning,loss,gender,G1,20572,10275,10297,False,-3.65317701,calibration,0.486492,0.469142,0.49653,0.486202,0.000876,0.008564,0.039027,0.907449,0.956298,0.99058,0.489695,0.489739,0.500535,0.489992,0.53129,0.509806,-0.020593,-0.027015,0.340096,0.260463,3.472893,38.211331,,,,,
finetuning,loss,language,ar,10315,5163,5152,False,-1.91543005,calibration,0.48153,0.46174,0.496678,0.489183,0.0,0.008328,0.047259,0.908191,0.95361,0.99146,0.495686,0.496054,0.500533,0.48782,0.151269,0.230928,-0.010899,-0.03694,0.342585,0.268783,3.216182,35.062771,,,,,
finetuning,loss,language,en,10330,5179,5151,False,-3.96613695,calibration,0.492516,0.474055,0.504005,0.489844,0.0,0.006565,0.044603,0.894195,0.946224,0.987964,0.50029,0.499736,0.501355,0.501168,0.704383,0.585648,-0.000579,-0.014968,0.337092,0.257091,3.688851,44.87769,,,,,
finetuning,loss,language,es,10290,5147,5143,False,-3.07859559,calibration,0.49643,0.477574,0.512653,0.494446,0.001943,0.007383,0.0408,0.899475,0.949835,0.990084,0.494558,0.494689,0.500194,0.483852,0.157179,0.237278,-0.014397,-0.007139,0.335135,0.24915,3.470939,35.796484,,,,,
finetuning,loss,language,pt,10289,5123,5166,False,-3.58945588,calibration,0.52551,0.501929,0.553082,0.513049,0.00039,0.00488,0.054265,0.876887,0.931862,0.98645,0.517835,0.517968,0.50209,0.514803,0.549873,0.53176,0.036009,0.05102,0.320594,0.231315,3.496644,36.485727,,,,,
finetuning,loss,variety,argentina,1197,608,589,False,-3.47657928,calibration,0.520697,0.472141,0.561463,0.534035,0.001645,0.014803,0.074013,0.881154,0.93039,0.979626,0.513784,0.516315,0.507937,0.531863,0.356908,0.427165,0.034415,0.041395,0.323118,0.248171,3.577686,39.269051,,,,,
finetuning,loss,variety,australia,1759,887,872,False,-4.04987698,calibration,0.468944,0.435715,0.51168,0.470268,0.0,0.002255,0.028185,0.911697,0.956422,0.986239,0.497442,0.49503,0.504264,0.501089,0.777903,0.609541,-0.012055,-0.062113,0.348964,0.26805,3.657747,44.056332,,,,,
finetuning,loss,variety,brazil,5552,2773,2779,False,-3.44567693,calibration,0.540685,0.505332,0.571645,0.52968,0.0,0.005409,0.067436,0.874055,0.925153,0.980569,0.5317,0.531608,0.50054,0.53756,0.446448,0.487786,0.064155,0.08137,0.313017,0.219966,3.452222,35.388982,,,,,
