scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,400,200,200,False,-3.62926125,calibration,0.5369,0.459799,0.601041,0.508517,0.0,0.0,0.025,0.87,0.9,0.93,0.53,0.53,0.5,0.529126,0.545,0.536946,0.060027,0.0738,0.315255,0.220627,3.504823,38.966367,,,,,
finetuning,loss,gender,G0,200,100,100,False,-3.60947935,calibration,0.479,0.392831,0.545764,0.465913,0.0,0.0,0.01,0.89,0.89,0.96,0.485,0.485,0.5,0.483871,0.45,0.466321,-0.030074,-0.042,0.344724,0.281106,3.533563,40.321517,,,,,
finetuning,loss,gender,G1,200,100,100,False,-3.50842414,calibration,0.6021,0.519103,0.674901,0.568461,0.0,0.01,0.05,0.73,0.86,0.91,0.585,0.585,0.5,0.597701,0.52,0.55615,0.171455,0.2042,0.282864,0.191206,3.476082,37.611218,,,,,
finetuning,loss,language,ar,100,50,50,False,-3.76217325,calibration,0.524,0.390156,0.658182,0.502995,0.0,0.0,0.02,0.8,0.8,0.94,0.5,0.5,0.5,0.5,0.56,0.528302,0.0,0.048,0.322896,0.252525,3.42061,41.082537,,,,,
finetuning,loss,language,en,100,50,50,False,-3.80900755,calibration,0.512,0.420168,0.627459,0.518971,0.02,0.02,0.02,0.84,0.86,0.94,0.5,0.5,0.5,0.5,0.52,0.509804,0.0,0.024,0.328956,0.282424,3.743548,46.377363,,,,,
finetuning,loss,language,es,100,50,50,False,-3.26274205,calibration,0.592,0.457613,0.699346,0.563213,0.0,0.0,0.0,0.86,0.94,0.98,0.53,0.53,0.5,0.545455,0.36,0.433735,0.063801,0.184,0.288552,0.162424,3.417706,33.078963,,,,,
finetuning,loss,language,pt,100,50,50,False,-3.63007525,calibration,0.56,0.455477,0.674304,0.515292,0.0,0.0,0.02,0.76,0.78,1.0,0.54,0.54,0.5,0.534483,0.62,0.574074,0.081044,0.12,0.304714,0.232525,3.437426,35.326608,,,,,
finetuning,loss,variety,argentina,11,3,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,australia,17,7,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,brazil,49,22,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,canada,21,11,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,chile,19,9,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,colombia,6,4,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,egypt,31,16,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,great britain,19,4,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,gulf,24,10,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,ireland,12,8,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,levantine,25,12,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,maghrebi,20,12,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,mexico,19,11,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,new zealand,17,12,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,peru,11,6,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,portugal,51,28,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,spain,23,9,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,united states,14,8,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,venezuela,11,8,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.547,0.512,0.08,0.864865
finetuning,loss,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.1231,0.54055,0.479,0.1231,0.795549
finetuning,min_k,all,all,400,200,200,False,-8.47916667,calibration,0.528325,0.455764,0.588784,0.51336,0.0,0.01,0.03,0.915,0.935,0.965,0.5225,0.5225,0.5,0.518672,0.625,0.566893,0.045976,0.05665,0.319616,0.230627,3.504823,38.966367,,,,,
finetuning,min_k,gender,G0,200,100,100,False,-7.22181373,calibration,0.50315,0.434574,0.559243,0.49407,0.0,0.0,0.01,0.91,0.98,0.98,0.49,0.49,0.5,0.444444,0.08,0.135593,-0.034943,0.0063,0.332714,0.251256,3.533563,40.321517,,,,,
finetuning,min_k,gender,G1,200,100,100,False,-8.47671569,calibration,0.55365,0.475402,0.632692,0.541956,0.0,0.02,0.05,0.85,0.89,0.95,0.545,0.545,0.5,0.53719,0.65,0.588235,0.092053,0.1073,0.307236,0.221106,3.476082,37.611218,,,,,
finetuning,min_k,language,ar,100,50,50,False,-8.08455882,calibration,0.4856,0.330791,0.5932,0.489825,0.0,0.0,0.06,0.82,0.82,0.96,0.52,0.52,0.5,0.515152,0.68,0.586207,0.04222,-0.0288,0.34229,0.312525,3.42061,41.082537,,,,,
finetuning,min_k,language,en,100,50,50,False,-8.99142157,calibration,0.4648,0.377015,0.574468,0.506372,0.04,0.04,0.06,0.8,0.84,0.98,0.46,0.46,0.5,0.469697,0.62,0.534483,-0.08444,-0.0704,0.352795,0.302424,3.743548,46.377363,,,,,
