study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_training_distribution_pan17,29777994f0c4201b,pan17_multilingual,qwen3_4b,raw_full,balanced_audit,full,29,1,finetuning,loss,all,all,41164,20552,20612,False,-3.62926125,calibration,0.494954,0.484705,0.503506,0.49164,0.001022,0.008466,0.042624,0.903648,0.950175,0.989812,0.498712,0.498752,0.500729,0.498087,0.525642,0.511494,-0.0025,-0.010093,0.335861,0.250735,3.468657,37.960546,,,,,
pilot_training_distribution_pan17,29777994f0c4201b,pan17_multilingual,qwen3_4b,raw_full,balanced_audit,full,29,1,finetuning,reference,all,all,41164,20552,20612,False,-0.09049198,calibration,0.505193,0.498699,0.512418,0.504281,0.001606,0.011142,0.052404,0.89511,0.946973,0.990685,0.498907,0.499632,0.500729,0.499087,0.997227,0.665238,-0.007511,0.010387,0.330741,0.246362,3.468657,37.960546,,,,,
pilot_training_distribution_pan17,2e1f62d84b3426ad,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,loss,all,all,400,200,200,False,-3.60465545,calibration,0.5371,0.483584,0.598959,0.512207,0.0,0.005,0.035,0.855,0.88,0.945,0.535,0.535,0.5,0.536082,0.52,0.527919,0.070032,0.0742,0.315155,0.220627,3.496659,39.023224,,,,,
pilot_training_distribution_pan17,2e1f62d84b3426ad,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,min_k,all,all,400,200,200,False,-8.37928922,calibration,0.510675,0.465572,0.561198,0.509062,0.0,0.01,0.035,0.91,0.925,0.96,0.4925,0.4925,0.5,0.492958,0.525,0.508475,-0.015032,0.02135,0.328463,0.270627,3.496659,39.023224,,,,,
pilot_training_distribution_pan17,2e1f62d84b3426ad,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,reference,all,all,400,200,200,False,-0.02308913,calibration,0.5276,0.468491,0.578265,0.527324,0.005,0.02,0.075,0.87,0.93,0.98,0.5075,0.5075,0.5,0.504043,0.935,0.654991,0.028922,0.0552,0.319916,0.220627,3.496659,39.023224,,,,,
pilot_training_distribution_pan17,2e1f62d84b3426ad,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,zlib,all,all,400,200,200,False,-0.00692741,calibration,0.534075,0.479631,0.591162,0.526502,0.0,0.015,0.05,0.875,0.93,0.965,0.5275,0.5275,0.5,0.537415,0.395,0.455331,0.057039,0.06815,0.316671,0.235627,3.496659,39.023224,,,,,
pilot_training_distribution_pan17,3043ea39df95de37,pan17_multilingual,qwen3_4b,balanced,balanced_audit,full,29,1,finetuning,loss,all,all,41224,20612,20612,False,-3.60465545,calibration,0.496561,0.488249,0.504993,0.494437,0.000485,0.008102,0.045168,0.89967,0.950126,0.989715,0.497453,0.497453,0.5,0.497443,0.495488,0.496464,-0.005094,-0.006877,0.335057,0.252432,3.468215,38.06051,,,,,
pilot_training_distribution_pan17,3043ea39df95de37,pan17_multilingual,qwen3_4b,balanced,balanced_audit,full,29,1,finetuning,reference,all,all,41224,20612,20612,False,-0.02308913,calibration,0.505302,0.497676,0.512413,0.508876,0.001601,0.012905,0.058704,0.899816,0.948719,0.990588,0.500534,0.500534,0.5,0.500283,0.943674,0.653903,0.002305,0.010603,0.330687,0.247095,3.468215,38.06051,,,,,
pilot_training_distribution_pan17,65a27dc4d2370a2f,pan17_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,all,all,400,200,200,False,-3.62926125,calibration,0.5369,0.459799,0.601041,0.508517,0.0,0.0,0.025,0.87,0.9,0.93,0.53,0.53,0.5,0.529126,0.545,0.536946,0.060027,0.0738,0.315255,0.220627,3.504823,38.966367,,,,,
pilot_training_distribution_pan17,65a27dc4d2370a2f,pan17_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,min_k,all,all,400,200,200,False,-8.47916667,calibration,0.528325,0.455764,0.588784,0.51336,0.0,0.01,0.03,0.915,0.935,0.965,0.5225,0.5225,0.5,0.518672,0.625,0.566893,0.045976,0.05665,0.319616,0.230627,3.504823,38.966367,,,,,
pilot_training_distribution_pan17,65a27dc4d2370a2f,pan17_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,reference,all,all,400,200,200,False,-0.09049198,calibration,0.49735,0.433129,0.540222,0.499237,0.005,0.02,0.03,0.84,0.93,0.975,0.5025,0.5025,0.5,0.501259,0.995,0.666667,0.028976,-0.0053,0.335079,0.260627,3.504823,38.966367,,,,,
pilot_training_distribution_pan17,65a27dc4d2370a2f,pan17_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,zlib,all,all,400,200,200,False,-0.00630496,calibration,0.5308,0.470411,0.595372,0.512023,0.0,0.005,0.035,0.87,0.925,0.965,0.5,0.5,0.5,0.5,0.15,0.230769,0.0,0.0616,0.318312,0.230627,3.504823,38.966367,,,,,
