scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,300,150,150,False,-3.44940004,calibration,0.505956,0.433042,0.556389,0.495967,0.0,0.013333,0.026667,0.893333,0.966667,1.0,0.51,0.51,0.5,0.515464,0.333333,0.404858,0.021379,0.011911,0.330903,0.240803,3.55345,40.117489,,,,,
finetuning,loss,gender,G0,150,75,75,False,-3.58208541,calibration,0.566578,0.480986,0.65438,0.551636,0.013333,0.013333,0.026667,0.866667,0.92,1.0,0.573333,0.573333,0.5,0.59322,0.466667,0.522388,0.150123,0.133156,0.30094,0.218076,3.607635,41.113782,,,,,
finetuning,loss,gender,G1,150,75,75,False,-3.44660683,calibration,0.452622,0.371641,0.543841,0.466294,0.0,0.0,0.013333,0.96,0.986667,1.0,0.486667,0.486667,0.5,0.482143,0.36,0.412214,-0.027566,-0.094756,0.3583,0.285011,3.499264,39.121195,,,,,
finetuning,loss,language,ar,100,50,50,False,-3.63787136,calibration,0.5504,0.418333,0.67387,0.51322,0.0,0.0,0.04,0.72,0.82,0.94,0.52,0.52,0.5,0.520833,0.5,0.510204,0.040032,0.1008,0.309562,0.232525,3.395073,37.50678,,,,,
finetuning,loss,language,en,100,50,50,False,-3.5829664,calibration,0.4444,0.325,0.5525,0.487977,0.0,0.0,0.04,0.96,0.96,1.0,0.49,0.49,0.5,0.482759,0.28,0.35443,-0.022038,-0.1112,0.363098,0.292525,3.714674,44.63242,,,,,
finetuning,loss,language,es,100,50,50,False,-3.38024309,calibration,0.5144,0.420968,0.601441,0.509889,0.0,0.0,0.02,0.94,1.0,1.0,0.49,0.49,0.5,0.484848,0.32,0.385542,-0.021267,0.0288,0.327744,0.232121,3.550602,38.213265,,,,,
finetuning,loss,variety,unknown,300,150,150,False,-3.44940004,calibration,0.505956,0.433042,0.556389,0.495967,0.0,0.013333,0.026667,0.893333,0.966667,1.0,0.51,0.51,0.5,0.515464,0.333333,0.404858,0.021379,0.011911,0.330903,0.240803,3.55345,40.117489,,,,,
finetuning,loss,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.503067,0.4444,0.106,0.807413
finetuning,loss,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.505956,0.505956,0.0,1.0
finetuning,loss,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.113956,0.5096,0.452622,0.113956,0.79887
finetuning,min_k,all,all,300,150,150,False,-8.48284314,calibration,0.506622,0.442423,0.559606,0.490129,0.0,0.0,0.026667,0.92,0.966667,0.993333,0.513333,0.513333,0.5,0.511628,0.586667,0.546584,0.026958,0.013244,0.330635,0.237369,3.55345,40.117489,,,,,
finetuning,min_k,gender,G0,150,75,75,False,-8.46078431,calibration,0.576089,0.493047,0.65836,0.543947,0.0,0.0,0.026667,0.84,0.96,1.0,0.566667,0.566667,0.5,0.5625,0.6,0.580645,0.133631,0.152178,0.296197,0.19821,3.607635,41.113782,,,,,
finetuning,min_k,gender,G1,150,75,75,False,-7.96813725,calibration,0.446667,0.376889,0.529343,0.456737,0.0,0.0,0.013333,0.92,0.973333,1.0,0.5,0.5,0.5,0.5,0.373333,0.427481,0.0,-0.106667,0.361342,0.298076,3.499264,39.121195,,,,,
finetuning,min_k,language,ar,100,50,50,False,-7.93811275,calibration,0.5366,0.4356,0.632803,0.49518,0.0,0.0,0.02,0.74,0.86,0.94,0.57,0.57,0.5,0.555556,0.7,0.619469,0.144986,0.0732,0.316633,0.262424,3.395073,37.50678,,,,,
finetuning,min_k,language,en,100,50,50,False,-8.46629902,calibration,0.4292,0.315571,0.523237,0.454519,0.0,0.0,0.04,0.92,0.98,0.98,0.44,0.44,0.5,0.392857,0.22,0.282051,-0.133631,-0.1416,0.370774,0.322424,3.714674,44.63242,,,,,
finetuning,min_k,language,es,100,50,50,False,-8.0557598,calibration,0.5428,0.442577,0.64533,0.505147,0.0,0.0,0.0,0.86,0.98,1.0,0.53,0.53,0.5,0.555556,0.3,0.38961,0.067574,0.0856,0.313401,0.20202,3.550602,38.213265,,,,,
finetuning,min_k,variety,unknown,300,150,150,False,-8.48284314,calibration,0.506622,0.442423,0.559606,0.490129,0.0,0.0,0.026667,0.92,0.966667,0.993333,0.513333,0.513333,0.5,0.511628,0.586667,0.546584,0.026958,0.013244,0.330635,0.237369,3.55345,40.117489,,,,,
finetuning,min_k,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,min_k,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.502867,0.4292,0.1136,0.790715
finetuning,min_k,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.506622,0.506622,0.0,1.0
finetuning,min_k,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.129422,0.511378,0.446667,0.129422,0.775343
finetuning,reference,all,all,300,150,150,False,0.12708194,calibration,0.473244,0.421166,0.536971,0.501028,0.02,0.02,0.06,0.906667,0.993333,0.993333,0.506667,0.506667,0.5,0.6,0.04,0.075,0.037139,-0.053511,0.347313,0.284169,3.55345,40.117489,,,,,
finetuning,reference,gender,G0,150,75,75,False,0.07217742,calibration,0.456356,0.381854,0.54463,0.476054,0.0,0.0,0.066667,0.96,1.0,1.0,0.46,0.46,0.5,0.448276,0.346667,0.390977,-0.082138,-0.087289,0.356421,0.298345,3.607635,41.113782,,,,,
finetuning,reference,gender,G1,150,75,75,False,0.12842716,calibration,0.487111,0.39202,0.559675,0.521296,0.04,0.04,0.093333,0.866667,0.92,0.986667,0.513333,0.513333,0.5,0.75,0.04,0.075949,0.082761,-0.025778,0.34094,0.271409,3.499264,39.121195,,,,,
finetuning,reference,language,ar,100,50,50,False,0.12750752,calibration,0.4816,0.380032,0.586667,0.530958,0.02,0.02,0.08,0.98,0.98,0.98,0.51,0.51,0.5,0.6,0.06,0.109091,0.045883,-0.0368,0.34431,0.262424,3.395073,37.50678,,,,,
finetuning,reference,language,en,100,50,50,False,0.01156544,calibration,0.4392,0.318364,0.569876,0.493005,0.02,0.02,0.1,0.86,0.94,0.98,0.52,0.52,0.5,0.512195,0.84,0.636364,0.052058,-0.1216,0.365724,0.372525,3.714674,44.63242,,,,,
finetuning,reference,language,es,100,50,50,False,0.09330855,calibration,0.5064,0.414166,0.590236,0.514212,0.04,0.04,0.06,0.78,0.98,1.0,0.48,0.48,0.5,0.416667,0.1,0.16129,-0.061546,0.0128,0.331785,0.301818,3.550602,38.213265,,,,,
finetuning,reference,variety,unknown,300,150,150,False,0.12708194,calibration,0.473244,0.421166,0.536971,0.501028,0.02,0.02,0.06,0.906667,0.993333,0.993333,0.506667,0.506667,0.5,0.6,0.04,0.075,0.037139,-0.053511,0.347313,0.284169,3.55345,40.117489,,,,,
finetuning,reference,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,reference,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,reference,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,reference,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,reference,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,reference,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,reference,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.475733,0.4392,0.0672,0.867299
finetuning,reference,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.473244,0.473244,0.0,1.0
finetuning,reference,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.030756,0.471733,0.456356,0.030756,0.936861
finetuning,zlib,all,all,300,150,150,False,-0.00737747,calibration,0.480356,0.408171,0.541913,0.479426,0.0,0.006667,0.033333,0.88,0.973333,0.986667,0.513333,0.513333,0.5,0.511111,0.613333,0.557576,0.027217,-0.039289,0.343746,0.274136,3.55345,40.117489,,,,,
finetuning,zlib,gender,G0,150,75,75,False,-0.00723332,calibration,0.524622,0.439822,0.607368,0.534497,0.026667,0.026667,0.08,0.826667,0.973333,0.973333,0.54,0.54,0.5,0.539474,0.546667,0.543046,0.080007,0.049244,0.322058,0.241611,3.607635,41.113782,,,,,
finetuning,zlib,gender,G1,150,75,75,False,-0.00737791,calibration,0.441244,0.344373,0.497894,0.453729,0.0,0.0,0.013333,0.96,0.986667,1.0,0.52,0.52,0.5,0.515789,0.653333,0.576471,0.041503,-0.117511,0.364027,0.308277,3.499264,39.121195,,,,,
finetuning,zlib,language,ar,100,50,50,False,-0.00800433,calibration,0.5344,0.43798,0.6136,0.509895,0.0,0.0,0.04,0.78,0.8,0.96,0.55,0.55,0.5,0.533333,0.8,0.64,0.11547,0.0688,0.317643,0.242424,3.395073,37.50678,,,,,
finetuning,zlib,language,en,100,50,50,False,-0.0072448,calibration,0.4472,0.329393,0.544237,0.477067,0.0,0.0,0.06,0.96,0.96,0.98,0.51,0.51,0.5,0.507692,0.66,0.573913,0.020966,-0.1056,0.361684,0.292525,3.714674,44.63242,,,,,
finetuning,zlib,language,es,100,50,50,False,-0.00717565,calibration,0.4584,0.332397,0.577324,0.476602,0.0,0.0,0.04,0.98,0.98,1.0,0.5,0.5,0.5,0.5,0.42,0.456522,0.0,-0.0832,0.356027,0.281818,3.550602,38.213265,,,,,
finetuning,zlib,variety,unknown,300,150,150,False,-0.00737747,calibration,0.480356,0.408171,0.541913,0.479426,0.0,0.006667,0.033333,0.88,0.973333,0.986667,0.513333,0.513333,0.5,0.511111,0.613333,0.557576,0.027217,-0.039289,0.343746,0.274136,3.55345,40.117489,,,,,
finetuning,zlib,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,zlib,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,zlib,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,zlib,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,zlib,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,zlib,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,zlib,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.4472,0.0872,0.836826
finetuning,zlib,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.480356,0.480356,0.0,1.0
finetuning,zlib,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.083378,0.482933,0.441244,0.083378,0.841071
