scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,60034,30049,29985,False,-3.44940004,calibration,0.493341,0.483104,0.502814,0.490521,0.0,0.005424,0.038238,0.904252,0.950475,0.989228,0.495952,0.496129,0.500533,0.494736,0.329961,0.395887,-0.008208,-0.013318,0.336666,0.254352,3.549511,40.180977,,,,,
finetuning,loss,gender,G0,30022,15008,15014,False,-3.58208541,calibration,0.494354,0.477462,0.509689,0.492376,0.0,0.005997,0.043443,0.900826,0.945318,0.987612,0.496436,0.496424,0.5001,0.49583,0.435701,0.463825,-0.007206,-0.011291,0.336162,0.255071,3.539945,39.822043,,,,,
finetuning,loss,gender,G1,30012,15041,14971,False,-3.44660683,calibration,0.492255,0.479011,0.504173,0.488699,0.000399,0.005385,0.032578,0.907221,0.957317,0.990181,0.495102,0.495492,0.501166,0.494396,0.328436,0.394679,-0.009567,-0.01549,0.337212,0.253773,3.55908,40.540032,,,,,
finetuning,loss,language,ar,19941,9974,9967,False,-3.63787136,calibration,0.478384,0.456799,0.497941,0.475994,0.0,0.004411,0.032083,0.907093,0.95465,0.989265,0.48799,0.487984,0.500176,0.488559,0.505214,0.496747,-0.024047,-0.043232,0.34415,0.26087,3.423574,38.433581,,,,,
finetuning,loss,language,en,19970,10006,9964,False,-3.5829664,calibration,0.503663,0.488246,0.515306,0.500961,0.0003,0.005697,0.051169,0.896929,0.949518,0.989763,0.501552,0.501995,0.501052,0.504497,0.291525,0.369521,0.004399,0.007327,0.33151,0.249011,3.735572,46.02902,,,,,
finetuning,loss,language,es,20123,10069,10054,False,-3.38024309,calibration,0.500339,0.484854,0.516858,0.503919,0.000993,0.008541,0.056014,0.904516,0.952954,0.990849,0.502162,0.502276,0.500373,0.503658,0.348694,0.412089,0.004784,0.000678,0.333172,0.251975,3.489662,36.10899,,,,,
finetuning,loss,variety,unknown,60034,30049,29985,False,-3.44940004,calibration,0.493341,0.483104,0.502814,0.490521,0.0,0.005424,0.038238,0.904252,0.950475,0.989228,0.495952,0.496129,0.500533,0.494736,0.329961,0.395887,-0.008208,-0.013318,0.336666,0.254352,3.549511,40.180977,,,,,
finetuning,loss,gender_language,G0|ar,10005,5001,5004,False,-4.23351673,calibration,0.488804,0.459252,0.519659,0.485043,0.0,0.003199,0.038792,0.894684,0.944045,0.985412,0.503648,0.503769,0.50015,0.501937,0.906819,0.646195,0.012738,-0.022393,0.338949,0.258171,3.432808,39.125414,,,,,
finetuning,loss,gender_language,G0|en,9954,4988,4966,False,-3.5829664,calibration,0.491573,0.476381,0.504663,0.49144,0.0002,0.005012,0.048316,0.900121,0.945832,0.991341,0.492063,0.49247,0.501105,0.489186,0.30834,0.378259,-0.016198,-0.016853,0.337564,0.257861,3.69748,44.313144,,,,,
finetuning,loss,gender_language,G0|es,10063,5019,5044,False,-3.47929356,calibration,0.50499,0.487755,0.523525,0.506246,0.001793,0.009763,0.059972,0.899088,0.948652,0.986717,0.50482,0.504648,0.501242,0.504151,0.435545,0.467344,0.009386,0.009981,0.330854,0.248584,3.490637,36.0722,,,,,
