study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,all,all,300,150,150,False,-3.49056599,calibration,0.526622,0.461604,0.585384,0.529673,0.013333,0.02,0.04,0.906667,0.953333,1.0,0.533333,0.533333,0.5,0.544643,0.406667,0.465649,0.068915,0.053244,0.320535,0.237503,3.503123,38.93378,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,gender,G0,150,75,75,False,-3.59863985,calibration,0.589333,0.509743,0.66306,0.566543,0.013333,0.013333,0.013333,0.866667,0.946667,1.0,0.586667,0.586667,0.5,0.6,0.52,0.557143,0.174895,0.178667,0.289485,0.178345,3.578215,40.297203,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,gender,G1,150,75,75,False,-3.4919811,calibration,0.477867,0.394703,0.560211,0.51737,0.026667,0.026667,0.04,0.96,0.96,1.0,0.493333,0.493333,0.5,0.491803,0.4,0.441176,-0.013572,-0.044267,0.345593,0.271678,3.428031,37.570356,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,language,ar,100,50,50,False,-3.65399062,calibration,0.5768,0.478917,0.679691,0.565941,0.04,0.04,0.06,0.8,1.0,1.0,0.58,0.58,0.5,0.571429,0.64,0.603774,0.161165,0.1536,0.296229,0.221616,3.299659,36.504858,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,language,en,100,50,50,False,-3.60645365,calibration,0.4324,0.334805,0.545026,0.465134,0.0,0.0,0.02,0.92,0.96,0.96,0.47,0.47,0.5,0.451613,0.28,0.345679,-0.064866,-0.1352,0.369158,0.312525,3.705865,43.581482,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,language,es,100,50,50,False,-3.49320936,calibration,0.5372,0.429087,0.630276,0.546188,0.0,0.0,0.06,0.94,0.98,1.0,0.56,0.56,0.5,0.568182,0.5,0.531915,0.120873,0.0744,0.316229,0.241818,3.503845,36.714999,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,variety,unknown,300,150,150,False,-3.49056599,calibration,0.526622,0.461604,0.585384,0.529673,0.013333,0.02,0.04,0.906667,0.953333,1.0,0.533333,0.533333,0.5,0.544643,0.406667,0.465649,0.068915,0.053244,0.320535,0.237503,3.503123,38.93378,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
