study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,loss,all,all,300,150,150,False,-3.49056599,calibration,0.526622,0.461604,0.585384,0.529673,0.013333,0.02,0.04,0.906667,0.953333,1.0,0.533333,0.533333,0.5,0.544643,0.406667,0.465649,0.068915,0.053244,0.320535,0.237503,3.503123,38.93378,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,min_k,all,all,300,150,150,False,-7.80759804,calibration,0.494156,0.423583,0.556238,0.506217,0.013333,0.013333,0.033333,0.906667,0.946667,0.973333,0.51,0.51,0.5,0.517647,0.293333,0.374468,0.022192,-0.011689,0.336856,0.254136,3.503123,38.93378,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,reference,all,all,300,150,150,False,0.12514834,calibration,0.513867,0.446331,0.568765,0.510498,0.0,0.006667,0.04,0.886667,0.933333,0.993333,0.496667,0.496667,0.5,0.461538,0.04,0.07362,-0.016371,0.027733,0.326934,0.247469,3.503123,38.93378,,,,,
pilot_robustness_pan18,1504b008d98ce7c2,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,audit,29,1,finetuning,zlib,all,all,300,150,150,False,-0.00660585,calibration,0.492178,0.418622,0.552469,0.489944,0.006667,0.026667,0.026667,0.866667,0.893333,0.98,0.476667,0.476667,0.5,0.458824,0.26,0.331915,-0.051781,-0.015644,0.337815,0.260803,3.503123,38.93378,,,,,
pilot_robustness_pan18,2964f9cbb76d69cf,pan18_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,loss,all,all,300,150,150,False,-3.44940004,calibration,0.505956,0.433042,0.556389,0.495967,0.0,0.013333,0.026667,0.893333,0.966667,1.0,0.51,0.51,0.5,0.515464,0.333333,0.404858,0.021379,0.011911,0.330903,0.240803,3.55345,40.117489,,,,,
pilot_robustness_pan18,2964f9cbb76d69cf,pan18_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,min_k,all,all,300,150,150,False,-8.48284314,calibration,0.506622,0.442423,0.559606,0.490129,0.0,0.0,0.026667,0.92,0.966667,0.993333,0.513333,0.513333,0.5,0.511628,0.586667,0.546584,0.026958,0.013244,0.330635,0.237369,3.55345,40.117489,,,,,
pilot_robustness_pan18,2964f9cbb76d69cf,pan18_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,reference,all,all,300,150,150,False,0.12708194,calibration,0.473244,0.421166,0.536971,0.501028,0.02,0.02,0.06,0.906667,0.993333,0.993333,0.506667,0.506667,0.5,0.6,0.04,0.075,0.037139,-0.053511,0.347313,0.284169,3.55345,40.117489,,,,,
pilot_robustness_pan18,2964f9cbb76d69cf,pan18_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,zlib,all,all,300,150,150,False,-0.00737747,calibration,0.480356,0.408171,0.541913,0.479426,0.0,0.006667,0.033333,0.88,0.973333,0.986667,0.513333,0.513333,0.5,0.511111,0.613333,0.557576,0.027217,-0.039289,0.343746,0.274136,3.55345,40.117489,,,,,
pilot_robustness_pan18,2999756abccb5333,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,full,29,1,finetuning,loss,all,all,59967,29982,29985,False,-3.49056599,calibration,0.494388,0.484206,0.504796,0.489971,0.0,0.005303,0.036989,0.903218,0.951776,0.989128,0.497424,0.497417,0.500025,0.496427,0.361417,0.418298,-0.005369,-0.011224,0.336142,0.252981,3.548773,40.130215,,,,,
pilot_robustness_pan18,2999756abccb5333,pan18_multilingual,qwen3_4b,raw_full,balanced_audit,full,29,1,finetuning,reference,all,all,59967,29982,29985,False,0.12514834,calibration,0.506987,0.499223,0.514689,0.507675,0.000901,0.01174,0.055433,0.895581,0.947374,0.989195,0.501926,0.501903,0.500025,0.521477,0.046161,0.084814,0.009254,0.013974,0.329843,0.246277,3.548773,40.130215,,,,,
pilot_robustness_pan18,4ebd334ab56cc43d,pan18_multilingual,qwen3_4b,balanced,balanced_audit,full,29,1,finetuning,loss,all,all,60034,30049,29985,False,-3.44940004,calibration,0.493341,0.483104,0.502814,0.490521,0.0,0.005424,0.038238,0.904252,0.950475,0.989228,0.495952,0.496129,0.500533,0.494736,0.329961,0.395887,-0.008208,-0.013318,0.336666,0.254352,3.549511,40.180977,,,,,
pilot_robustness_pan18,4ebd334ab56cc43d,pan18_multilingual,qwen3_4b,balanced,balanced_audit,full,29,1,finetuning,reference,all,all,60034,30049,29985,False,0.12708194,calibration,0.510572,0.501588,0.519102,0.51113,0.001398,0.013611,0.055709,0.895548,0.945706,0.989628,0.501816,0.502303,0.500533,0.527357,0.045226,0.083308,0.011362,0.021143,0.32805,0.243624,3.549511,40.180977,,,,,
