scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,41224,20612,20612,False,-3.61385263,calibration,0.496732,0.488393,0.505194,0.494514,0.000534,0.008102,0.045022,0.898748,0.950078,0.989666,0.497938,0.497938,0.5,0.497981,0.508539,0.503204,-0.004125,-0.006535,0.334971,0.252238,3.463625,37.894309,,,,,
finetuning,loss,gender,G0,20652,10337,10315,False,-4.03284723,calibration,0.506861,0.493693,0.518316,0.502796,9.7e-05,0.007352,0.051079,0.890451,0.939699,0.988851,0.506537,0.506155,0.500533,0.504118,0.864564,0.636879,0.017655,0.013721,0.329911,0.24425,3.458697,37.733307,,,,,
finetuning,loss,gender,G1,20572,10275,10297,False,-3.61523698,calibration,0.486658,0.469272,0.496737,0.486294,0.000876,0.008564,0.039124,0.906186,0.956201,0.99058,0.490132,0.490143,0.500535,0.4898,0.500049,0.494871,-0.019718,-0.026683,0.340013,0.260172,3.468572,38.055936,,,,,
finetuning,loss,language,ar,10315,5163,5152,False,-1.90155561,calibration,0.481799,0.461916,0.497088,0.489209,0.0,0.008522,0.04784,0.908191,0.954581,0.991071,0.495686,0.496053,0.500533,0.487881,0.152043,0.231837,-0.010879,-0.036402,0.342451,0.268783,3.208923,34.848123,,,,,
finetuning,loss,language,en,10330,5179,5151,False,-3.95897145,calibration,0.492683,0.474215,0.504144,0.489915,0.0,0.006565,0.04441,0.895748,0.948554,0.988158,0.499129,0.498581,0.501355,0.500345,0.700521,0.583749,-0.003101,-0.014635,0.337008,0.25651,3.685304,44.710555,,,,,
finetuning,loss,language,es,10290,5147,5143,False,-3.08248392,calibration,0.496632,0.47777,0.512851,0.494564,0.001943,0.007577,0.041578,0.898697,0.949835,0.990472,0.494655,0.494785,0.500194,0.48453,0.161259,0.241983,-0.014001,-0.006736,0.335034,0.248567,3.467607,35.675718,,,,,
finetuning,loss,language,pt,10289,5123,5166,False,-3.59011477,calibration,0.525568,0.502194,0.553142,0.513014,0.00039,0.00488,0.053484,0.877468,0.933024,0.986837,0.518709,0.518866,0.50209,0.515464,0.556315,0.535111,0.037837,0.051136,0.320565,0.232093,3.492427,36.323591,,,,,
finetuning,loss,variety,argentina,1197,608,589,False,-3.48687174,calibration,0.521044,0.472102,0.561496,0.534465,0.001645,0.014803,0.074013,0.88455,0.93039,0.979626,0.513784,0.516182,0.507937,0.5311,0.365132,0.432749,0.03394,0.042087,0.322945,0.248171,3.573315,39.100714,,,,,
finetuning,loss,variety,australia,1759,887,872,False,-4.04476994,calibration,0.469259,0.436336,0.511909,0.470355,0.0,0.002255,0.028185,0.909404,0.958716,0.986239,0.49801,0.495613,0.504264,0.501456,0.776776,0.609465,-0.01061,-0.061482,0.348806,0.264639,3.654103,43.883757,,,,,
finetuning,loss,variety,brazil,5552,2773,2779,False,-3.44529238,calibration,0.540652,0.50542,0.571851,0.52955,0.0,0.005409,0.067075,0.876214,0.924433,0.980209,0.532961,0.532872,0.50054,0.538827,0.450415,0.49067,0.066657,0.081303,0.313034,0.219245,3.448754,35.260095,,,,,
