scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,400,200,200,False,-3.99528373,calibration,0.50485,0.444595,0.559801,0.50044,0.005,0.005,0.05,0.88,0.92,0.975,0.5175,0.5175,0.5,0.512195,0.735,0.603696,0.03887,0.0097,0.33132,0.255627,3.522857,42.259165,,,,,
finetuning,loss,gender,G0,200,100,100,False,-3.99507662,calibration,0.4814,0.394625,0.56508,0.495178,0.01,0.01,0.05,0.89,0.96,0.98,0.5,0.5,0.5,0.5,0.73,0.593496,0.0,-0.0372,0.343518,0.301206,3.472055,41.02969,,,,,
finetuning,loss,gender,G1,200,100,100,False,-4.0942,calibration,0.5285,0.458127,0.600763,0.514215,0.0,0.0,0.04,0.87,0.9,0.96,0.51,0.51,0.5,0.506667,0.76,0.608,0.023094,0.057,0.319849,0.221256,3.573659,43.48864,,,,,
finetuning,loss,language,ar,100,50,50,False,-2.17487328,calibration,0.5592,0.45812,0.676517,0.545264,0.02,0.02,0.04,0.72,0.88,0.94,0.53,0.53,0.5,0.571429,0.24,0.338028,0.073654,0.1184,0.305118,0.242424,2.66606,16.253826,,,,,
finetuning,loss,language,en,100,50,50,False,-3.48351983,calibration,0.5572,0.439776,0.676671,0.528865,0.0,0.0,0.06,0.78,0.84,0.94,0.52,0.52,0.5,0.53125,0.34,0.414634,0.042875,0.1144,0.306128,0.242222,3.668717,42.450531,,,,,
finetuning,loss,language,es,100,50,50,False,-3.49449562,calibration,0.4564,0.333761,0.541025,0.473777,0.0,0.0,0.02,0.9,0.96,0.98,0.47,0.47,0.5,0.428571,0.18,0.253521,-0.073654,-0.0872,0.357037,0.292323,3.800182,49.742533,,,,,
finetuning,loss,language,pt,100,50,50,False,-3.99528373,calibration,0.5168,0.404366,0.645698,0.495654,0.0,0.0,0.02,0.88,0.92,0.98,0.54,0.54,0.5,0.543478,0.5,0.520833,0.080257,0.0336,0.326532,0.252525,3.956469,60.589771,,,,,
finetuning,loss,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,canada,20,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,chile,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,colombia,10,8,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,egypt,26,11,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,great britain,23,8,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,gulf,28,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,ireland,17,13,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,levantine,25,12,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,maghrebi,21,13,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,mexico,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,new zealand,15,10,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,peru,14,9,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,portugal,44,21,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,spain,21,7,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,united states,9,3,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,venezuela,7,4,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
