study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,all,all,41224,20612,20612,False,-3.99528373,calibration,0.500555,0.491262,0.510602,0.495361,0.000194,0.008102,0.044246,0.889142,0.941248,0.986513,0.5041,0.5041,0.5,0.502949,0.699253,0.585074,0.008905,0.00111,0.33306,0.248599,3.529543,43.770165,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,reference,all,all,41224,20612,20612,False,0.25269629,calibration,0.50347,0.493807,0.512366,0.50072,0.001358,0.009072,0.046526,0.898603,0.947506,0.988599,0.501528,0.501528,0.5,0.500931,0.822434,0.622629,0.003986,0.006941,0.331602,0.247192,3.529543,43.770165,,,,,
pilot_model_family_pan17,2a4fa0efa62105ed,pan17_multilingual,qwen3_4b,balanced,balanced_audit,full,29,1,finetuning,loss,all,all,41224,20612,20612,False,-3.61385263,calibration,0.496732,0.488393,0.505194,0.494514,0.000534,0.008102,0.045022,0.898748,0.950078,0.989666,0.497938,0.497938,0.5,0.497981,0.508539,0.503204,-0.004125,-0.006535,0.334971,0.252238,3.463625,37.894309,,,,,
pilot_model_family_pan17,2a4fa0efa62105ed,pan17_multilingual,qwen3_4b,balanced,balanced_audit,full,29,1,finetuning,reference,all,all,41224,20612,20612,False,0.05893141,calibration,0.506303,0.49892,0.513048,0.508793,0.001698,0.01339,0.058801,0.898797,0.949204,0.990151,0.503808,0.503808,0.5,0.504173,0.460169,0.481167,0.007646,0.012605,0.330186,0.244669,3.463625,37.894309,,,,,
pilot_model_family_pan17,4dadee939ef00a97,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,loss,all,all,400,200,200,False,-3.99528373,calibration,0.50485,0.444595,0.559801,0.50044,0.005,0.005,0.05,0.88,0.92,0.975,0.5175,0.5175,0.5,0.512195,0.735,0.603696,0.03887,0.0097,0.33132,0.255627,3.522857,42.259165,,,,,
pilot_model_family_pan17,4dadee939ef00a97,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,min_k,all,all,400,200,200,False,-9.191875,calibration,0.490663,0.437298,0.54082,0.492823,0.0,0.01,0.05,0.915,0.94,0.97,0.505,0.505,0.5,0.503268,0.77,0.608696,0.011792,-0.018675,0.3385,0.250627,3.522857,42.259165,,,,,
pilot_model_family_pan17,4dadee939ef00a97,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,reference,all,all,400,200,200,False,0.25269629,calibration,0.531525,0.477874,0.591601,0.514046,0.0,0.005,0.055,0.885,0.945,1.0,0.515,0.515,0.5,0.508982,0.85,0.636704,0.040412,0.06305,0.317949,0.230627,3.522857,42.259165,,,,,
pilot_model_family_pan17,4dadee939ef00a97,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,zlib,all,all,400,200,200,False,-0.00887985,calibration,0.50565,0.451087,0.549133,0.514302,0.005,0.01,0.085,0.92,0.96,1.0,0.5,0.5,0.5,0.5,0.86,0.632353,0.0,0.0113,0.330919,0.250627,3.522857,42.259165,,,,,
pilot_model_family_pan17,7b0b8c42d463ac6d,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,loss,all,all,400,200,200,False,-3.61385263,calibration,0.537375,0.483996,0.598933,0.512912,0.0,0.005,0.035,0.855,0.885,0.94,0.5325,0.5325,0.5,0.53202,0.54,0.53598,0.065007,0.07475,0.315017,0.220627,3.492051,38.850918,,,,,
pilot_model_family_pan17,7b0b8c42d463ac6d,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,min_k,all,all,400,200,200,False,-8.37316176,calibration,0.5123,0.468434,0.564089,0.510527,0.0,0.01,0.035,0.92,0.925,0.965,0.495,0.495,0.5,0.495327,0.53,0.512077,-0.010025,0.0246,0.327661,0.270627,3.492051,38.850918,,,,,
pilot_model_family_pan17,7b0b8c42d463ac6d,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,reference,all,all,400,200,200,False,0.05893141,calibration,0.52415,0.463516,0.575723,0.526943,0.01,0.02,0.055,0.885,0.925,0.975,0.5225,0.5225,0.5,0.523316,0.505,0.513995,0.045028,0.0483,0.321646,0.225627,3.492051,38.850918,,,,,
pilot_model_family_pan17,7b0b8c42d463ac6d,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,zlib,all,all,400,200,200,False,-0.00690306,calibration,0.533275,0.477562,0.590566,0.526288,0.0,0.015,0.05,0.895,0.93,0.965,0.5225,0.5225,0.5,0.531469,0.38,0.443149,0.046947,0.06655,0.317072,0.235627,3.492051,38.850918,,,,,
