scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,400,200,200,False,-3.59787774,calibration,0.536875,0.483244,0.597479,0.512477,0.0,0.005,0.035,0.855,0.885,0.945,0.5325,0.5325,0.5,0.534031,0.51,0.521739,0.065066,0.07375,0.315267,0.215627,3.496737,39.024286,,,,,
finetuning,loss,gender,G0,200,100,100,False,-4.03967294,calibration,0.512,0.420221,0.578579,0.5046,0.01,0.01,0.02,0.88,0.89,0.92,0.505,0.505,0.5,0.50303,0.83,0.626415,0.013159,0.024,0.328141,0.251106,3.473135,39.052196,,,,,
finetuning,loss,gender,G1,200,100,100,False,-3.61136379,calibration,0.5648,0.466498,0.637216,0.533937,0.0,0.0,0.04,0.8,0.83,0.94,0.56,0.56,0.5,0.56,0.56,0.56,0.12,0.1296,0.301608,0.260955,3.520339,38.996377,,,,,
finetuning,loss,language,ar,100,50,50,False,-1.91239213,calibration,0.5776,0.47054,0.71571,0.54667,0.0,0.0,0.06,0.8,0.84,0.94,0.49,0.49,0.5,0.461538,0.12,0.190476,-0.029735,0.1552,0.295825,0.212323,3.330017,39.237656,,,,,
finetuning,loss,language,en,100,50,50,False,-3.84583239,calibration,0.5708,0.4596,0.687094,0.54762,0.02,0.02,0.04,0.78,0.8,0.94,0.56,0.56,0.5,0.551724,0.64,0.592593,0.121566,0.1416,0.299259,0.222424,3.711258,44.834864,,,,,
finetuning,loss,language,es,100,50,50,False,-3.08016068,calibration,0.4932,0.390931,0.584756,0.514896,0.0,0.0,0.0,0.92,0.96,0.98,0.55,0.55,0.5,0.647059,0.22,0.328358,0.133109,-0.0136,0.338451,0.271919,3.481435,35.512469,,,,,
finetuning,loss,language,pt,100,50,50,False,-3.61752082,calibration,0.5148,0.401547,0.658863,0.491944,0.0,0.0,0.02,0.88,0.96,0.98,0.53,0.53,0.5,0.528302,0.56,0.543689,0.060108,0.0296,0.327542,0.232525,3.464239,36.512157,,,,,
finetuning,loss,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
