scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,400,200,200,False,-3.58122513,calibration,0.538975,0.484166,0.599035,0.516678,0.0,0.01,0.035,0.85,0.89,0.93,0.53,0.53,0.5,0.530612,0.52,0.525253,0.060012,0.07795,0.314215,0.215627,3.470342,38.213888,,,,,
finetuning,loss,gender,G0,200,100,100,False,-3.81668007,calibration,0.5168,0.429245,0.579937,0.514589,0.02,0.02,0.04,0.88,0.89,0.91,0.505,0.505,0.5,0.50365,0.69,0.582278,0.010764,0.0336,0.325729,0.241106,3.446932,38.246769,,,,,
finetuning,loss,gender,G1,200,100,100,False,-3.57650801,calibration,0.5636,0.470243,0.634304,0.534371,0.0,0.0,0.03,0.81,0.83,0.94,0.54,0.54,0.5,0.54,0.54,0.54,0.08,0.1272,0.302211,0.231206,3.493752,38.181008,,,,,
finetuning,loss,language,ar,100,50,50,False,-2.049851,calibration,0.5804,0.471768,0.720096,0.549363,0.0,0.0,0.06,0.8,0.84,0.94,0.48,0.48,0.5,0.4375,0.14,0.212121,-0.054554,0.1608,0.294411,0.212323,3.287039,38.344118,,,,,
finetuning,loss,language,en,100,50,50,False,-3.91029376,calibration,0.5712,0.4576,0.689935,0.549451,0.02,0.02,0.04,0.78,0.82,0.9,0.55,0.55,0.5,0.537313,0.72,0.615385,0.106335,0.1424,0.299057,0.202424,3.692824,44.044972,,,,,
finetuning,loss,language,es,100,50,50,False,-3.07215997,calibration,0.498,0.394199,0.59735,0.519467,0.0,0.0,0.02,0.92,0.96,0.98,0.57,0.57,0.5,0.684211,0.26,0.376812,0.178434,-0.004,0.336027,0.282222,3.460066,34.810714,,,,,
finetuning,loss,language,pt,100,50,50,False,-3.56775104,calibration,0.516,0.404255,0.660079,0.49374,0.0,0.0,0.02,0.9,0.98,0.98,0.53,0.53,0.5,0.528302,0.56,0.543689,0.060108,0.032,0.326936,0.241818,3.441438,35.655748,,,,,
finetuning,loss,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,canada,20,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,chile,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,colombia,10,8,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,egypt,26,11,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,great britain,23,8,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,gulf,28,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,ireland,17,13,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,levantine,25,12,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,maghrebi,21,13,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,mexico,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,new zealand,15,10,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,peru,14,9,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,portugal,44,21,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,spain,21,7,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,united states,9,3,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,venezuela,7,4,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G0|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,gender_language,G1|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5414,0.498,0.0824,0.858029
finetuning,loss,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0468,0.5402,0.5168,0.0468,0.916962
finetuning,min_k,all,all,400,200,200,False,-8.44852941,calibration,0.512463,0.461442,0.567019,0.512341,0.0,0.015,0.03,0.905,0.925,0.965,0.515,0.515,0.5,0.513043,0.59,0.548837,0.030343,0.024925,0.327586,0.260627,3.470342,38.213888,,,,,
finetuning,min_k,gender,G0,200,100,100,False,-8.45343137,calibration,0.4894,0.391304,0.558225,0.515669,0.02,0.02,0.04,0.96,0.98,0.99,0.515,0.515,0.5,0.513043,0.59,0.548837,0.030343,-0.0212,0.339598,0.251256,3.446932,38.246769,,,,,
finetuning,min_k,gender,G1,200,100,100,False,-8.42156863,calibration,0.53115,0.465866,0.598935,0.516621,0.0,0.0,0.02,0.82,0.85,0.9,0.505,0.505,0.5,0.504425,0.57,0.535211,0.010086,0.0623,0.318593,0.271256,3.493752,38.181008,,,,,
finetuning,min_k,language,ar,100,50,50,False,-8.44117647,calibration,0.5314,0.441176,0.653419,0.522584,0.0,0.0,0.08,0.74,0.8,1.0,0.57,0.57,0.5,0.54321,0.88,0.671756,0.178434,0.0628,0.319461,0.272323,3.287039,38.344118,,,,,
finetuning,min_k,language,en,100,50,50,False,-9.28002451,calibration,0.4756,0.362828,0.589147,0.476366,0.02,0.02,0.02,0.78,0.82,0.98,0.55,0.55,0.5,0.53012,0.88,0.661654,0.133109,-0.0488,0.34734,0.301414,3.692824,44.044972,,,,,
