scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,400,200,200,False,-3.20920011,calibration,0.537425,0.485185,0.598857,0.512921,0.0,0.005,0.035,0.855,0.885,0.945,0.495,0.495,0.5,0.488095,0.205,0.288732,-0.012276,0.07485,0.314992,0.215627,3.49253,38.871306,,,,,
finetuning,loss,gender,G0,200,100,100,False,-3.21584037,calibration,0.5148,0.423195,0.581475,0.505928,0.01,0.01,0.02,0.88,0.89,0.92,0.5,0.5,0.5,0.5,0.23,0.315068,0.0,0.0296,0.326734,0.251055,3.469041,38.894208,,,,,
finetuning,loss,gender,G1,200,100,100,False,-3.13583752,calibration,0.563,0.466296,0.635464,0.533439,0.0,0.0,0.03,0.81,0.83,0.94,0.515,0.515,0.5,0.545455,0.18,0.270677,0.040412,0.126,0.302513,0.250955,3.516019,38.848404,,,,,
finetuning,loss,language,ar,100,50,50,False,-1.60615765,calibration,0.5768,0.469136,0.713317,0.545508,0.0,0.0,0.06,0.78,0.84,0.94,0.51,0.51,0.5,0.6,0.06,0.109091,0.045883,0.1536,0.296229,0.212323,3.32566,39.125171,,,,,
finetuning,loss,language,en,100,50,50,False,-3.56171226,calibration,0.5696,0.456,0.687906,0.549568,0.02,0.02,0.04,0.78,0.8,0.94,0.52,0.52,0.5,0.526316,0.4,0.454545,0.041204,0.1392,0.299865,0.202424,3.706958,44.635836,,,,,
finetuning,loss,language,es,100,50,50,False,-3.05758562,calibration,0.492,0.390523,0.587255,0.514091,0.0,0.0,0.0,0.94,0.96,0.98,0.55,0.55,0.5,0.647059,0.22,0.328358,0.133109,-0.016,0.339057,0.291919,3.478172,35.403053,,,,,
finetuning,loss,language,pt,100,50,50,False,-3.21480324,calibration,0.5184,0.401752,0.660079,0.494525,0.0,0.0,0.02,0.88,0.96,0.98,0.46,0.46,0.5,0.409091,0.18,0.25,-0.096561,0.0368,0.325724,0.232525,3.45933,36.321164,,,,,
finetuning,loss,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,canada,20,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
