scenario,attack,scope,samples,auc_roc,tpr_at_1_fpr,tpr_at_0_1_fpr,accuracy,pld_auc_roc,pld_accuracy
finetuning,loss,all,8,1.0,1.0,1.0,1.0,,
finetuning,loss,G0,4,1.0,1.0,1.0,1.0,,
finetuning,loss,G1,4,1.0,1.0,1.0,1.0,,
finetuning,loss,gap:G0-G1,,,,,,0.0,0.0
finetuning,min_k,all,8,1.0,1.0,1.0,1.0,,
finetuning,min_k,G0,4,1.0,1.0,1.0,1.0,,
finetuning,min_k,G1,4,1.0,1.0,1.0,1.0,,
finetuning,min_k,gap:G0-G1,,,,,,0.0,0.0
finetuning,neighborhood,all,8,0.5,0.0,0.0,0.625,,
finetuning,neighborhood,G0,4,0.25,0.0,0.0,0.5,,
finetuning,neighborhood,G1,4,0.75,0.5,0.5,0.75,,
finetuning,neighborhood,gap:G0-G1,,,,,,0.5,0.25
finetuning,reference,all,8,1.0,1.0,1.0,1.0,,
finetuning,reference,G0,4,1.0,1.0,1.0,1.0,,
finetuning,reference,G1,4,1.0,1.0,1.0,1.0,,
finetuning,reference,gap:G0-G1,,,,,,0.0,0.0
finetuning,zlib,all,8,1.0,1.0,1.0,1.0,,
finetuning,zlib,G0,4,1.0,1.0,1.0,1.0,,
finetuning,zlib,G1,4,1.0,1.0,1.0,1.0,,
finetuning,zlib,gap:G0-G1,,,,,,0.0,0.0
pretraining,loss,all,8,1.0,1.0,1.0,1.0,,
pretraining,loss,G0,4,1.0,1.0,1.0,1.0,,
pretraining,loss,G1,4,1.0,1.0,1.0,1.0,,
pretraining,loss,gap:G0-G1,,,,,,0.0,0.0
pretraining,min_k,all,8,1.0,1.0,1.0,1.0,,
pretraining,min_k,G0,4,1.0,1.0,1.0,1.0,,
pretraining,min_k,G1,4,1.0,1.0,1.0,1.0,,
pretraining,min_k,gap:G0-G1,,,,,,0.0,0.0
pretraining,neighborhood,all,8,0.5,0.0,0.0,0.625,,
pretraining,neighborhood,G0,4,0.25,0.0,0.0,0.5,,
pretraining,neighborhood,G1,4,0.75,0.5,0.5,0.75,,
pretraining,neighborhood,gap:G0-G1,,,,,,0.5,0.25
pretraining,reference,all,8,1.0,1.0,1.0,1.0,,
pretraining,reference,G0,4,1.0,1.0,1.0,1.0,,
pretraining,reference,G1,4,1.0,1.0,1.0,1.0,,
pretraining,reference,gap:G0-G1,,,,,,0.0,0.0
pretraining,zlib,all,8,1.0,1.0,1.0,1.0,,
pretraining,zlib,G0,4,1.0,1.0,1.0,1.0,,
pretraining,zlib,G1,4,1.0,1.0,1.0,1.0,,
pretraining,zlib,gap:G0-G1,,,,,,0.0,0.0
rag,loss,all,8,1.0,1.0,1.0,1.0,,
rag,loss,G0,4,1.0,1.0,1.0,1.0,,
rag,loss,G1,4,1.0,1.0,1.0,1.0,,
rag,loss,gap:G0-G1,,,,,,0.0,0.0
rag,min_k,all,8,1.0,1.0,1.0,1.0,,
rag,min_k,G0,4,1.0,1.0,1.0,1.0,,
rag,min_k,G1,4,1.0,1.0,1.0,1.0,,
rag,min_k,gap:G0-G1,,,,,,0.0,0.0
rag,neighborhood,all,8,0.5,0.0,0.0,0.625,,
rag,neighborhood,G0,4,0.25,0.0,0.0,0.5,,
rag,neighborhood,G1,4,0.75,0.5,0.5,0.75,,
rag,neighborhood,gap:G0-G1,,,,,,0.5,0.25
rag,reference,all,8,1.0,1.0,1.0,1.0,,
rag,reference,G0,4,1.0,1.0,1.0,1.0,,
rag,reference,G1,4,1.0,1.0,1.0,1.0,,
rag,reference,gap:G0-G1,,,,,,0.0,0.0
rag,zlib,all,8,1.0,1.0,1.0,1.0,,
rag,zlib,G0,4,1.0,1.0,1.0,1.0,,
rag,zlib,G1,4,1.0,1.0,1.0,1.0,,
rag,zlib,gap:G0-G1,,,,,,0.0,0.0
