scenario,attack,scope,samples,auc_roc,tpr_at_1_fpr,tpr_at_0_1_fpr,accuracy,pld_auc_roc,pld_accuracy
finetuning,loss,all,6000,0.501025,0.007778,0.000278,0.6,,
finetuning,loss,G0,3000,0.511716,0.01,0.000556,0.601667,,
finetuning,loss,G1,3000,0.490601,0.005556,0.000556,0.6,,
finetuning,loss,gap:G0-G1,,,,,,0.021115,0.001667
finetuning,min_k,all,6000,0.496015,0.006389,0.000278,0.600667,,
finetuning,min_k,G0,3000,0.503629,0.006667,0.000556,0.602,,
finetuning,min_k,G1,3000,0.488396,0.005556,0.000556,0.600333,,
finetuning,min_k,gap:G0-G1,,,,,,0.015233,0.001667
finetuning,neighborhood,all,6000,0.507483,0.014722,0.001389,0.600167,,
finetuning,neighborhood,G0,3000,0.516523,0.016111,0.005,0.600333,,
finetuning,neighborhood,G1,3000,0.498557,0.013333,0.0,0.6,,
finetuning,neighborhood,gap:G0-G1,,,,,,0.017965,0.000333
finetuning,reference,all,6000,0.497326,0.008611,0.001111,0.600333,,
finetuning,reference,G0,3000,0.505011,0.005,0.000556,0.600333,,
finetuning,reference,G1,3000,0.489951,0.016667,0.002778,0.600667,,
finetuning,reference,gap:G0-G1,,,,,,0.01506,0.000333
finetuning,zlib,all,6000,0.500727,0.011667,0.000278,0.600167,,
finetuning,zlib,G0,3000,0.508238,0.016667,0.000556,0.6,,
finetuning,zlib,G1,3000,0.493504,0.010556,0.0,0.600333,,
finetuning,zlib,gap:G0-G1,,,,,,0.014734,0.000333
