scenario,attack,scope,samples,auc_roc,tpr_at_1_fpr,tpr_at_0_1_fpr,accuracy,balanced_accuracy,majority_class_accuracy,pld_auc_roc,pld_accuracy
finetuning,loss,all,6000,0.513627,0.01,0.002,0.514167,0.514167,0.5,,
finetuning,loss,G0,3000,0.523216,0.009333,0.003333,0.522333,0.522333,0.5,,
finetuning,loss,G1,3000,0.504656,0.004667,0.0,0.511333,0.511333,0.5,,
finetuning,loss,gap:G0-G1,,,,,,,,0.01856,0.011
finetuning,min_k,all,6000,0.514894,0.008333,0.001667,0.514833,0.514833,0.5,,
finetuning,min_k,G0,3000,0.526682,0.011333,0.002667,0.524,0.524,0.5,,
finetuning,min_k,G1,3000,0.503814,0.003333,0.0,0.513,0.513,0.5,,
finetuning,min_k,gap:G0-G1,,,,,,,,0.022868,0.011
finetuning,neighborhood,all,6000,0.509081,0.011333,0.002,0.511667,0.511667,0.5,,
finetuning,neighborhood,G0,3000,0.516784,0.009333,0.002667,0.523,0.523,0.5,,
finetuning,neighborhood,G1,3000,0.502267,0.009333,0.001333,0.510667,0.510667,0.5,,
finetuning,neighborhood,gap:G0-G1,,,,,,,,0.014517,0.012333
finetuning,reference,all,6000,0.504099,0.012667,0.000667,0.513833,0.513833,0.5,,
finetuning,reference,G0,3000,0.504032,0.022667,0.0,0.516,0.516,0.5,,
finetuning,reference,G1,3000,0.504241,0.008667,0.001333,0.518667,0.518667,0.5,,
finetuning,reference,gap:G0-G1,,,,,,,,0.000209,0.002667
finetuning,zlib,all,6000,0.498172,0.010333,0.001,0.507333,0.507333,0.5,,
finetuning,zlib,G0,3000,0.503455,0.013333,0.002667,0.513,0.513,0.5,,
finetuning,zlib,G1,3000,0.492728,0.006667,0.001333,0.507333,0.507333,0.5,,
finetuning,zlib,gap:G0-G1,,,,,,,,0.010727,0.005667
