scenario,attack,scope,samples,auc_roc,tpr_at_1_fpr,tpr_at_0_1_fpr,accuracy,pld_auc_roc,pld_accuracy
pretraining,loss,all,1000,0.432818,0.018,0.002,0.505,,
pretraining,loss,G0,500,0.431376,0.008,0.004,0.502,,
pretraining,loss,G1,500,0.434272,0.028,0.0,0.512,,
pretraining,loss,gap:G0-G1,,,,,,0.002896,0.01
pretraining,min_k,all,1000,0.449928,0.008,0.002,0.518,,
pretraining,min_k,G0,500,0.446688,0.008,0.004,0.534,,
pretraining,min_k,G1,500,0.451872,0.004,0.0,0.52,,
pretraining,min_k,gap:G0-G1,,,,,,0.005184,0.014
pretraining,neighborhood,all,1000,0.482718,0.02,0.0,0.527,,
pretraining,neighborhood,G0,500,0.470592,0.02,0.004,0.516,,
pretraining,neighborhood,G1,500,0.494448,0.016,0.0,0.542,,
pretraining,neighborhood,gap:G0-G1,,,,,,0.023856,0.026
pretraining,reference,all,1000,0.46043,0.014,0.0,0.507,,
pretraining,reference,G0,500,0.481696,0.016,0.0,0.516,,
pretraining,reference,G1,500,0.43844,0.008,0.0,0.506,,
pretraining,reference,gap:G0-G1,,,,,,0.043256,0.01
pretraining,zlib,all,1000,0.44272,0.006,0.0,0.502,,
pretraining,zlib,G0,500,0.43968,0.0,0.0,0.51,,
pretraining,zlib,G1,500,0.446728,0.008,0.0,0.5,,
pretraining,zlib,gap:G0-G1,,,,,,0.007048,0.01
rag,loss,all,1000,0.432818,0.018,0.002,0.505,,
rag,loss,G0,500,0.431376,0.008,0.004,0.502,,
rag,loss,G1,500,0.434272,0.028,0.0,0.512,,
rag,loss,gap:G0-G1,,,,,,0.002896,0.01
rag,min_k,all,1000,0.449928,0.008,0.002,0.518,,
rag,min_k,G0,500,0.446688,0.008,0.004,0.534,,
rag,min_k,G1,500,0.451872,0.004,0.0,0.52,,
rag,min_k,gap:G0-G1,,,,,,0.005184,0.014
rag,neighborhood,all,1000,0.482718,0.02,0.0,0.527,,
rag,neighborhood,G0,500,0.470592,0.02,0.004,0.516,,
rag,neighborhood,G1,500,0.494448,0.016,0.0,0.542,,
rag,neighborhood,gap:G0-G1,,,,,,0.023856,0.026
rag,reference,all,1000,0.46043,0.014,0.0,0.507,,
rag,reference,G0,500,0.481696,0.016,0.0,0.516,,
rag,reference,G1,500,0.43844,0.008,0.0,0.506,,
rag,reference,gap:G0-G1,,,,,,0.043256,0.01
rag,zlib,all,1000,0.44272,0.006,0.0,0.502,,
rag,zlib,G0,500,0.43968,0.0,0.0,0.51,,
rag,zlib,G1,500,0.446728,0.008,0.0,0.5,,
rag,zlib,gap:G0-G1,,,,,,0.007048,0.01
